id,detalle,grupo,imagen_url,marca,modelo,precio
1,"En 3" con extensión- Acero inoxidable AISI 304",bajadas,https://http2.mlstatic.com/D_NQ_NP_609191-MLA42905256602_072020-O.webp,Audi,S3,487.63
2,"En 3" con extensión- Acero inoxidable AISI 304",bajadas,https://http2.mlstatic.com/D_NQ_NP_657374-MLA45078563893_032021-O.webp,Audi,A4-A5,1004.63
